paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10
1,,06:54,08:29,10:04,11:39,13:14,14:49,16:24,17:59,19:34
62,,06:57,08:32,10:07,11:42,13:17,14:52,16:27,18:02,19:37
13,,07:01,08:36,10:11,11:46,13:21,14:56,16:31,18:06,19:41
63,,07:02,08:37,10:12,11:47,13:22,14:57,16:32,18:07,19:42
64,,07:03,08:38,10:13,11:48,13:23,14:58,16:33,18:08,19:43
66,,07:05,08:40,10:15,11:50,13:25,15:00,16:35,18:10,19:45
67,,07:06,08:41,10:16,11:51,13:26,15:01,16:36,18:11,19:46
15,,07:08,08:43,10:18,11:53,13:28,15:03,16:38,18:13,19:48
17,,07:11,08:46,10:21,11:56,13:31,15:06,16:41,18:16,
69,,07:12,08:47,10:22,11:57,13:32,15:07,16:42,18:17,
9,,07:13,08:48,10:23,11:58,13:33,15:08,16:43,18:18,
70,,07:15,08:50,10:25,12:00,13:35,15:10,16:45,18:20,
4,,07:17,08:52,10:27,12:02,13:37,15:12,16:47,18:22,
71,,07:18,08:53,10:28,12:03,13:38,15:13,16:48,18:23,
72,,07:19,08:54,10:29,12:04,13:39,15:14,16:49,18:24,
73,,07:20,08:55,10:30,12:05,13:40,15:15,16:50,18:25,
5,,07:23,08:58,10:33,12:08,13:43,15:18,16:53,18:28,
74,,07:24,08:59,10:34,12:09,13:44,15:19,16:54,18:29,
75,,07:26,09:01,10:36,12:11,13:46,15:21,16:56,18:31,
18,,07:28,09:03,10:38,12:13,13:48,15:23,16:58,18:33,
76,,07:29,09:04,10:39,12:14,13:49,15:24,16:59,18:34,
78,,07:30,09:05,10:40,12:15,13:50,15:25,17:00,18:35,
80,,07:32,09:07,10:42,12:17,13:52,15:27,17:02,18:37,
82,,07:34,09:09,10:44,12:19,13:54,15:29,17:04,18:39,
92,06:13,07:40,09:15,10:50,12:25,14:00,15:35,17:10,18:45,
21,06:19,07:46,09:21,10:56,12:31,14:06,15:41,17:16,18:51,
83,06:21,07:48,09:23,10:58,12:33,14:08,15:43,17:18,18:53,
84,06:25,07:52,09:27,11:02,12:37,14:12,15:47,17:22,18:57,
85,06:27,07:54,09:29,11:04,12:39,14:14,15:49,17:24,18:59,
86,06:29,07:56,09:31,11:06,12:41,14:16,15:51,17:26,19:01,
87,06:32,07:59,09:34,11:09,12:44,14:19,15:54,17:29,19:04,
88,06:35,08:02,09:37,11:12,12:47,14:22,15:57,17:32,19:07,
89,06:38,08:07,09:42,11:17,12:52,14:27,16:02,17:37,19:12,
90,06:41,08:10,09:45,11:20,12:55,14:30,16:05,17:40,19:15,
91,06:44,08:17,09:52,11:27,13:02,14:37,16:12,17:47,19:22,
