paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,
1,06:07,07:42,09:17,10:52,12:27,14:02,15:37,17:12,18:47,
62,06:10,07:45,09:20,10:55,12:30,14:05,15:40,17:15,18:50,
13,06:14,07:49,09:24,10:59,12:34,14:09,15:44,17:19,18:54,
63,06:15,07:50,09:25,11:00,12:35,14:10,15:45,17:20,18:55,
64,06:16,07:51,09:26,11:01,12:36,14:11,15:46,17:21,18:56,
66,06:18,07:53,09:28,11:03,12:38,14:13,15:48,17:23,18:58,
67,06:19,07:54,09:29,11:04,12:39,14:14,15:49,17:24,18:59,
15,06:21,07:56,09:31,11:06,12:41,14:16,15:51,17:26,19:01,
17,06:24,07:59,09:34,11:09,12:44,14:19,15:54,17:29,19:04,
69,06:25,08:00,09:35,11:10,12:45,14:20,15:55,17:30,19:05,
9,06:26,08:01,09:36,11:11,12:46,14:21,15:56,17:31,19:06,
70,06:28,08:03,09:38,11:13,12:48,14:23,15:58,17:33,19:08,
4,06:30,08:05,09:40,11:15,12:50,14:25,16:00,17:35,19:10,
71,06:31,08:06,09:41,11:16,12:51,14:26,16:01,17:36,19:11,
72,06:32,08:07,09:42,11:17,12:52,14:27,16:02,17:37,19:12,
73,06:33,08:08,09:43,11:18,12:53,14:28,16:03,17:38,19:13,
5,06:36,08:11,09:46,11:21,12:56,14:31,16:06,17:41,19:16,
74,06:37,08:12,09:47,11:22,12:57,14:32,16:07,17:42,19:17,
75,06:39,08:14,09:49,11:24,12:59,14:34,16:09,17:44,19:19,
18,06:41,08:16,09:51,11:26,13:01,14:36,16:11,17:46,19:21,
76,06:42,08:17,09:52,11:27,13:02,14:37,16:12,17:47,19:22,
78,06:43,08:18,09:53,11:28,13:03,14:38,16:13,17:48,19:23,
80,06:45,08:20,09:55,11:30,13:05,14:40,16:15,17:50,19:25,
82,06:47,08:22,09:57,11:32,13:07,14:42,16:17,17:52,19:27,
92,06:53,08:28,10:03,11:38,13:13,14:48,16:23,17:58,19:33,
21,06:59,08:34,10:09,11:44,13:19,14:54,16:29,18:04,19:39,
83,07:01,08:36,10:11,11:46,13:21,14:56,16:31,18:06,19:41,
84,07:05,08:40,10:15,11:50,13:25,15:00,16:35,18:10,19:45,
85,07:07,08:42,10:17,11:52,13:27,15:02,16:37,18:12,19:47,
86,07:09,08:44,10:19,11:54,13:29,15:04,16:39,18:14,19:49,
87,07:12,08:47,10:22,11:57,13:32,15:07,16:42,18:17,19:52,
88,07:15,08:50,10:25,12:00,13:35,15:10,16:45,18:20,19:55,
89,07:20,08:55,10:30,12:05,13:40,15:15,16:50,18:25,20:00,
90,07:23,08:58,10:33,12:08,13:43,15:18,16:53,18:28,20:03,
91,07:30,09:05,10:40,12:15,13:50,15:25,17:00,18:35,20:10,
