paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,
1,,06:28,08:03,09:38,11:13,12:48,14:23,15:58,17:33,19:08,
62,,06:31,08:06,09:41,11:16,12:51,14:26,16:01,17:36,19:11,
13,,06:35,08:10,09:45,11:20,12:55,14:30,16:05,17:40,19:15,
63,,06:36,08:11,09:46,11:21,12:56,14:31,16:06,17:41,19:16,
64,,06:37,08:12,09:47,11:22,12:57,14:32,16:07,17:42,19:17,
66,,06:39,08:14,09:49,11:24,12:59,14:34,16:09,17:44,19:19,
67,,06:40,08:15,09:50,11:25,13:00,14:35,16:10,17:45,19:20,
15,,06:42,08:17,09:52,11:27,13:02,14:37,16:12,17:47,19:22,
17,,06:45,08:20,09:55,11:30,13:05,14:40,16:15,17:50,19:25,
69,,06:46,08:21,09:56,11:31,13:06,14:41,16:16,17:51,19:26,
9,,06:47,08:22,09:57,11:32,13:07,14:42,16:17,17:52,19:27,
70,,06:49,08:24,09:59,11:34,13:09,14:44,16:19,17:54,19:29,
4,,06:51,08:26,10:01,11:36,13:11,14:46,16:21,17:56,19:31,
71,,06:52,08:27,10:02,11:37,13:12,14:47,16:22,17:57,19:32,
72,,06:53,08:28,10:03,11:38,13:13,14:48,16:23,17:58,19:33,
73,,06:54,08:29,10:04,11:39,13:14,14:49,16:24,17:59,19:34,
5,,06:57,08:32,10:07,11:42,13:17,14:52,16:27,18:02,19:37,
74,,06:58,08:33,10:08,11:43,13:18,14:53,16:28,18:03,19:38,
75,,07:00,08:35,10:10,11:45,13:20,14:55,16:30,18:05,19:40,
18,,07:02,08:37,10:12,11:47,13:22,14:57,16:32,18:07,19:42,
76,,07:03,08:38,10:13,11:48,13:23,14:58,16:33,18:08,19:43,
78,,07:04,08:39,10:14,11:49,13:24,14:59,16:34,18:09,19:44,
80,,07:06,08:41,10:16,11:51,13:26,15:01,16:36,18:11,19:46,
82,,07:08,08:43,10:18,11:53,13:28,15:03,16:38,18:13,19:48,
92,,07:14,08:49,10:24,11:59,13:34,15:09,16:44,18:19,19:54,
21,,07:20,08:55,10:30,12:05,13:40,15:15,16:50,18:25,,
83,,07:22,08:57,10:32,12:07,13:42,15:17,16:52,18:27,,
84,,07:26,09:01,10:36,12:11,13:46,15:21,16:56,18:31,,
85,,07:28,09:03,10:38,12:13,13:48,15:23,16:58,18:33,,
86,06:03,07:30,09:05,10:40,12:15,13:50,15:25,17:00,18:35,,
87,06:06,07:33,09:08,10:43,12:18,13:53,15:28,17:03,18:38,,
88,06:09,07:36,09:11,10:46,12:21,13:56,15:31,17:06,18:41,,
89,06:12,07:41,09:16,10:51,12:26,14:01,15:36,17:11,18:46,,
90,06:15,07:44,09:19,10:54,12:29,14:04,15:39,17:14,18:49,,
91,06:18,07:51,09:26,11:01,12:36,14:11,15:46,17:21,18:56,,
