paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10
1,,07:09,08:44,10:19,11:54,13:29,15:04,16:39,18:14,19:49
81,,07:13,08:48,10:23,11:58,13:33,15:08,16:43,18:18,
80,,07:15,08:50,10:25,12:00,13:35,15:10,16:45,18:20,
79,,07:17,08:52,10:27,12:02,13:37,15:12,16:47,18:22,
77,,07:18,08:53,10:28,12:03,13:38,15:13,16:48,18:23,
19,,07:19,08:54,10:29,12:04,13:39,15:14,16:49,18:24,
75,,07:22,08:57,10:32,12:07,13:42,15:17,16:52,18:27,
5,,07:24,08:59,10:34,12:09,13:44,15:19,16:54,18:29,
74,,07:25,09:00,10:35,12:10,13:45,15:20,16:55,18:30,
70,,07:27,09:02,10:37,12:12,13:47,15:22,16:57,18:32,
4,,07:29,09:04,10:39,12:14,13:49,15:24,16:59,18:34,
71,,07:30,09:05,10:40,12:15,13:50,15:25,17:00,18:35,
72,,07:31,09:06,10:41,12:16,13:51,15:26,17:01,18:36,
73,,07:32,09:07,10:42,12:17,13:52,15:27,17:02,18:37,
10,,07:33,09:08,10:43,12:18,13:53,15:28,17:03,18:38,
69,,07:34,09:09,10:44,12:19,13:54,15:29,17:04,18:39,
17,,07:35,09:10,10:45,12:20,13:55,15:30,17:05,18:40,
16,,07:37,09:12,10:47,12:22,13:57,15:32,17:07,18:42,
68,,07:40,09:15,10:50,12:25,14:00,15:35,17:10,18:45,
65,,07:42,09:17,10:52,12:27,14:02,15:37,17:12,18:47,
63,,07:44,09:19,10:54,12:29,14:04,15:39,17:14,18:49,
14,06:12,07:47,09:22,10:57,12:32,14:07,15:42,17:17,18:52,
92,06:20,07:54,09:29,11:04,12:39,14:14,15:49,17:24,18:59,
91,06:24,07:59,09:34,11:09,12:44,14:19,15:54,17:29,19:04,
90,06:27,08:02,09:37,11:12,12:47,14:22,15:57,17:32,19:07,
89,06:30,08:05,09:40,11:15,12:50,14:25,16:00,17:35,19:10,
87,06:34,08:09,09:44,11:19,12:54,14:29,16:04,17:39,19:14,
88,06:36,08:11,09:46,11:21,12:56,14:31,16:06,17:41,19:16,
86,06:41,08:16,09:51,11:26,13:01,14:36,16:11,17:46,19:21,
85,06:44,08:19,09:54,11:29,13:04,14:39,16:14,17:49,19:24,
84,06:46,08:21,09:56,11:31,13:06,14:41,16:16,17:51,19:26,
83,06:50,08:25,10:00,11:35,13:10,14:45,16:20,17:55,19:30,
20,06:55,08:30,10:05,11:40,13:15,14:50,16:25,18:00,19:35,
