paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,
1,,07:33,09:08,10:43,12:18,13:53,15:28,17:03,18:38,
81,,07:37,09:12,10:47,12:22,13:57,15:32,17:07,18:42,
80,,07:39,09:14,10:49,12:24,13:59,15:34,17:09,18:44,
79,,07:41,09:16,10:51,12:26,14:01,15:36,17:11,18:46,
77,,07:42,09:17,10:52,12:27,14:02,15:37,17:12,18:47,
19,,07:43,09:18,10:53,12:28,14:03,15:38,17:13,18:48,
75,,07:46,09:21,10:56,12:31,14:06,15:41,17:16,18:51,
5,06:13,07:48,09:23,10:58,12:33,14:08,15:43,17:18,18:53,
74,06:14,07:49,09:24,10:59,12:34,14:09,15:44,17:19,18:54,
70,06:16,07:51,09:26,11:01,12:36,14:11,15:46,17:21,18:56,
4,06:18,07:53,09:28,11:03,12:38,14:13,15:48,17:23,18:58,
71,06:19,07:54,09:29,11:04,12:39,14:14,15:49,17:24,18:59,
72,06:20,07:55,09:30,11:05,12:40,14:15,15:50,17:25,19:00,
73,06:21,07:56,09:31,11:06,12:41,14:16,15:51,17:26,19:01,
10,06:22,07:57,09:32,11:07,12:42,14:17,15:52,17:27,19:02,
69,06:23,07:58,09:33,11:08,12:43,14:18,15:53,17:28,19:03,
17,06:24,07:59,09:34,11:09,12:44,14:19,15:54,17:29,19:04,
16,06:26,08:01,09:36,11:11,12:46,14:21,15:56,17:31,19:06,
68,06:29,08:04,09:39,11:14,12:49,14:24,15:59,17:34,19:09,
65,06:31,08:06,09:41,11:16,12:51,14:26,16:01,17:36,19:11,
63,06:33,08:08,09:43,11:18,12:53,14:28,16:03,17:38,19:13,
14,06:36,08:11,09:46,11:21,12:56,14:31,16:06,17:41,19:16,
92,06:43,08:18,09:53,11:28,13:03,14:38,16:13,17:48,19:23,
91,06:48,08:23,09:58,11:33,13:08,14:43,16:18,17:53,19:28,
90,06:51,08:26,10:01,11:36,13:11,14:46,16:21,17:56,19:31,
89,06:54,08:29,10:04,11:39,13:14,14:49,16:24,17:59,19:34,
87,06:58,08:33,10:08,11:43,13:18,14:53,16:28,18:03,19:38,
88,07:00,08:35,10:10,11:45,13:20,14:55,16:30,18:05,19:40,
86,07:05,08:40,10:15,11:50,13:25,15:00,16:35,18:10,19:45,
85,07:08,08:43,10:18,11:53,13:28,15:03,16:38,18:13,19:48,
84,07:10,08:45,10:20,11:55,13:30,15:05,16:40,18:15,,
83,07:14,08:49,10:24,11:59,13:34,15:09,16:44,18:19,,
20,07:19,08:54,10:29,12:04,13:39,15:14,16:49,18:24,,
