paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,
1,05:45,07:05,08:25,09:45,11:05,12:25,13:45,15:05,16:25,17:45,19:05,
21,05:50,07:10,08:30,09:50,11:10,12:30,13:50,15:10,16:30,17:50,19:10,
23,05:53,07:13,08:33,09:53,11:13,12:33,13:53,15:13,16:33,17:53,19:13,
25,05:55,07:15,08:35,09:55,11:15,12:35,13:55,15:15,16:35,17:55,19:15,
27,05:58,07:18,08:38,09:58,11:18,12:38,13:58,15:18,16:38,17:58,19:18,
30,06:01,07:21,08:41,10:01,11:21,12:41,14:01,15:21,16:41,18:01,19:21,
32,06:04,07:24,08:44,10:04,11:24,12:44,14:04,15:24,16:44,18:04,19:24,
31,06:08,07:28,08:48,10:08,11:28,12:48,14:08,15:28,16:48,18:08,19:28,
33,06:10,07:30,08:50,10:10,11:30,12:50,14:10,15:30,16:50,18:10,19:30,
29,06:12,07:32,08:52,10:12,11:32,12:52,14:12,15:32,16:52,18:12,19:32,
26,06:14,07:34,08:54,10:14,11:34,12:54,14:14,15:34,16:54,18:14,19:34,
8,06:15,07:35,08:55,10:15,11:35,12:55,14:15,15:35,16:55,18:15,19:35,
11,06:17,07:37,08:57,10:17,11:37,12:57,14:17,15:37,16:57,18:17,19:37,
24,06:19,07:39,08:59,10:19,11:39,12:59,14:19,15:39,16:59,18:19,19:39,
22,06:20,07:40,09:00,10:20,11:40,13:00,14:20,15:40,17:00,18:20,19:40,
20,06:23,07:43,09:03,10:23,11:43,13:03,14:23,15:43,17:03,18:23,19:43,
92,06:30,07:50,09:10,10:30,11:50,13:10,14:30,15:50,17:10,18:30,19:50,
97,06:35,07:55,09:15,10:35,11:55,13:15,14:35,15:55,17:15,18:35,,
98,06:36,07:56,09:16,10:36,11:56,13:16,14:36,15:56,17:16,18:36,,
99,06:38,07:58,09:18,10:38,11:58,13:18,14:38,15:58,17:18,18:38,,
100,06:41,08:01,09:21,10:41,12:01,13:21,14:41,16:01,17:21,18:41,,
101,06:43,08:03,09:23,10:43,12:03,13:23,14:43,16:03,17:23,18:43,,
102,06:45,08:05,09:25,10:45,12:05,13:25,14:45,16:05,17:25,18:45,,
103,06:47,08:07,09:27,10:47,12:07,13:27,14:47,16:07,17:27,18:47,,
104,06:50,08:10,09:30,10:50,12:10,13:30,14:50,16:10,17:30,18:50,,
105,06:52,08:12,09:32,10:52,12:12,13:32,14:52,16:12,17:32,18:52,,
106,06:54,08:14,09:34,10:54,12:14,13:34,14:54,16:14,17:34,18:54,,
107,06:55,08:15,09:35,10:55,12:15,13:35,14:55,16:15,17:35,18:55,,
