paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,vuelta12
1,,06:45,08:05,09:25,10:45,12:05,13:25,14:45,16:05,17:25,18:45,20:05
21,,06:50,08:10,09:30,10:50,12:10,13:30,14:50,16:10,17:30,18:50,
23,,06:53,08:13,09:33,10:53,12:13,13:33,14:53,16:13,17:33,18:53,
25,,06:55,08:15,09:35,10:55,12:15,13:35,14:55,16:15,17:35,18:55,
27,,06:58,08:18,09:38,10:58,12:18,13:38,14:58,16:18,17:38,18:58,
30,,07:01,08:21,09:41,11:01,12:21,13:41,15:01,16:21,17:41,19:01,
32,,07:04,08:24,09:44,11:04,12:24,13:44,15:04,16:24,17:44,19:04,
31,,07:08,08:28,09:48,11:08,12:28,13:48,15:08,16:28,17:48,19:08,
33,,07:10,08:30,09:50,11:10,12:30,13:50,15:10,16:30,17:50,19:10,
29,,07:12,08:32,09:52,11:12,12:32,13:52,15:12,16:32,17:52,19:12,
26,,07:14,08:34,09:54,11:14,12:34,13:54,15:14,16:34,17:54,19:14,
8,,07:15,08:35,09:55,11:15,12:35,13:55,15:15,16:35,17:55,19:15,
11,,07:17,08:37,09:57,11:17,12:37,13:57,15:17,16:37,17:57,19:17,
24,,07:19,08:39,09:59,11:19,12:39,13:59,15:19,16:39,17:59,19:19,
22,,07:20,08:40,10:00,11:20,12:40,14:00,15:20,16:40,18:00,19:20,
20,,07:23,08:43,10:03,11:23,12:43,14:03,15:23,16:43,18:03,19:23,
92,06:10,07:30,08:50,10:10,11:30,12:50,14:10,15:30,16:50,18:10,19:30,
97,06:15,07:35,08:55,10:15,11:35,12:55,14:15,15:35,16:55,18:15,19:35,
98,06:16,07:36,08:56,10:16,11:36,12:56,14:16,15:36,16:56,18:16,19:36,
99,06:18,07:38,08:58,10:18,11:38,12:58,14:18,15:38,16:58,18:18,19:38,
100,06:21,07:41,09:01,10:21,11:41,13:01,14:21,15:41,17:01,18:21,19:41,
101,06:23,07:43,09:03,10:23,11:43,13:03,14:23,15:43,17:03,18:23,19:43,
102,06:25,07:45,09:05,10:25,11:45,13:05,14:25,15:45,17:05,18:25,19:45,
103,06:27,07:47,09:07,10:27,11:47,13:07,14:27,15:47,17:07,18:27,19:47,
104,06:30,07:50,09:10,10:30,11:50,13:10,14:30,15:50,17:10,18:30,19:50,
105,06:32,07:52,09:12,10:32,11:52,13:12,14:32,15:52,17:12,18:32,19:52,
106,06:34,07:54,09:14,10:34,11:54,13:14,14:34,15:54,17:14,18:34,19:54,
107,06:35,07:55,09:15,10:35,11:55,13:15,14:35,15:55,17:15,18:35,19:55,
