paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,
2,05:33,06:57,08:21,09:45,11:09,12:33,13:57,15:21,16:45,18:09,19:33,
13,05:38,07:02,08:26,09:50,11:14,12:38,14:02,15:26,16:50,18:14,19:38,
78,05:40,07:04,08:28,09:52,11:16,12:40,14:04,15:28,16:52,18:16,19:40,
6,05:44,07:08,08:32,09:56,11:20,12:44,14:08,15:32,16:56,18:20,19:44,
93,05:47,07:11,08:35,09:59,11:23,12:47,14:11,15:35,16:59,18:23,19:47,
94,05:50,07:14,08:38,10:02,11:26,12:50,14:14,15:38,17:02,18:26,19:50,
95,05:52,07:16,08:40,10:04,11:28,12:52,14:16,15:40,17:04,18:28,19:52,
42,05:53,07:17,08:41,10:05,11:29,12:53,14:17,15:41,17:05,18:29,19:53,
96,05:55,07:19,08:43,10:07,11:31,12:55,14:19,15:43,17:07,18:31,19:55,
43,05:57,07:21,08:45,10:09,11:33,12:57,14:21,15:45,17:09,18:33,19:57,
12,05:58,07:22,08:46,10:10,11:34,12:58,14:22,15:46,17:10,18:34,19:58,
40,05:59,07:23,08:47,10:11,11:35,12:59,14:23,15:47,17:11,18:35,19:59,
39,06:00,07:24,08:48,10:12,11:36,13:00,14:24,15:48,17:12,18:36,20:00,
41,06:03,07:27,08:51,10:15,11:39,13:03,14:27,15:51,17:15,18:39,,
44,06:05,07:29,08:53,10:17,11:41,13:05,14:29,15:53,17:17,18:41,,
45,06:05,07:29,08:53,10:17,11:41,13:05,14:29,15:53,17:17,18:41,,
46,06:07,07:31,08:55,10:19,11:43,13:07,14:31,15:55,17:19,18:43,,
48,06:09,07:33,08:57,10:21,11:45,13:09,14:33,15:57,17:21,18:45,,
20,06:11,07:35,08:59,10:23,11:47,13:11,14:35,15:59,17:23,18:47,,
1,06:14,07:38,09:02,10:26,11:50,13:14,14:38,16:02,17:26,18:50,,
91,06:19,07:43,09:07,10:31,11:55,13:19,14:43,16:07,17:31,18:55,,
138,06:22,07:46,09:10,10:34,11:58,13:22,14:46,16:10,17:34,18:58,,
127,06:24,07:48,09:12,10:36,12:00,13:24,14:48,16:12,17:36,19:00,,
128,06:25,07:49,09:13,10:37,12:01,13:25,14:49,16:13,17:37,19:01,,
129,06:27,07:51,09:15,10:39,12:03,13:27,14:51,16:15,17:39,19:03,,
130,06:32,07:56,09:20,10:44,12:08,13:32,14:56,16:20,17:44,19:08,,
131,06:34,07:58,09:22,10:46,12:10,13:34,14:58,16:22,17:46,19:10,,
132,06:37,08:01,09:25,10:49,12:13,13:37,15:01,16:25,17:49,19:13,,
133,06:39,08:03,09:27,10:51,12:15,13:39,15:03,16:27,17:51,19:15,,
134,06:39,08:03,09:27,10:51,12:15,13:39,15:03,16:27,17:51,19:15,,
135,06:42,08:06,09:30,10:54,12:18,13:42,15:06,16:30,17:54,19:18,,
136,06:43,08:07,09:31,10:55,12:19,13:43,15:07,16:31,17:55,19:19,,
137,06:45,08:09,09:33,10:57,12:21,13:45,15:09,16:33,17:57,19:21,,
90,06:46,08:10,09:34,10:58,12:22,13:46,15:10,16:34,17:58,19:22,,
