paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11
2,,06:15,07:39,09:03,10:27,11:51,13:15,14:39,16:03,17:27,18:51
13,,06:20,07:44,09:08,10:32,11:56,13:20,14:44,16:08,17:32,18:56
78,,06:22,07:46,09:10,10:34,11:58,13:22,14:46,16:10,17:34,18:58
6,,06:26,07:50,09:14,10:38,12:02,13:26,14:50,16:14,17:38,19:02
93,,06:29,07:53,09:17,10:41,12:05,13:29,14:53,16:17,17:41,19:05
94,,06:32,07:56,09:20,10:44,12:08,13:32,14:56,16:20,17:44,19:08
95,,06:34,07:58,09:22,10:46,12:10,13:34,14:58,16:22,17:46,19:10
42,,06:35,07:59,09:23,10:47,12:11,13:35,14:59,16:23,17:47,19:11
96,,06:37,08:01,09:25,10:49,12:13,13:37,15:01,16:25,17:49,19:13
43,,06:39,08:03,09:27,10:51,12:15,13:39,15:03,16:27,17:51,19:15
12,,06:40,08:04,09:28,10:52,12:16,13:40,15:04,16:28,17:52,19:16
40,,06:41,08:05,09:29,10:53,12:17,13:41,15:05,16:29,17:53,19:17
39,,06:42,08:06,09:30,10:54,12:18,13:42,15:06,16:30,17:54,19:18
41,,06:45,08:09,09:33,10:57,12:21,13:45,15:09,16:33,17:57,19:21
44,,06:47,08:11,09:35,10:59,12:23,13:47,15:11,16:35,17:59,19:23
45,,06:47,08:11,09:35,10:59,12:23,13:47,15:11,16:35,17:59,19:23
46,,06:49,08:13,09:37,11:01,12:25,13:49,15:13,16:37,18:01,19:25
48,,06:51,08:15,09:39,11:03,12:27,13:51,15:15,16:39,18:03,19:27
20,,06:53,08:17,09:41,11:05,12:29,13:53,15:17,16:41,18:05,19:29
1,05:32,06:56,08:20,09:44,11:08,12:32,13:56,15:20,16:44,18:08,19:32
91,05:37,07:01,08:25,09:49,11:13,12:37,14:01,15:25,16:49,18:13,19:37
138,05:40,07:04,08:28,09:52,11:16,12:40,14:04,15:28,16:52,18:16,19:40
127,05:42,07:06,08:30,09:54,11:18,12:42,14:06,15:30,16:54,18:18,19:42
128,05:43,07:07,08:31,09:55,11:19,12:43,14:07,15:31,16:55,18:19,19:43
129,05:45,07:09,08:33,09:57,11:21,12:45,14:09,15:33,16:57,18:21,19:45
130,05:50,07:14,08:38,10:02,11:26,12:50,14:14,15:38,17:02,18:26,19:50
131,05:52,07:16,08:40,10:04,11:28,12:52,14:16,15:40,17:04,18:28,19:52
132,05:55,07:19,08:43,10:07,11:31,12:55,14:19,15:43,17:07,18:31,19:55
133,05:57,07:21,08:45,10:09,11:33,12:57,14:21,15:45,17:09,18:33,19:57
134,05:57,07:21,08:45,10:09,11:33,12:57,14:21,15:45,17:09,18:33,19:57
135,06:00,07:24,08:48,10:12,11:36,13:00,14:24,15:48,17:12,18:36,20:00
136,06:01,07:25,08:49,10:13,11:37,13:01,14:25,15:49,17:13,18:37,20:01
137,06:03,07:27,08:51,10:15,11:39,13:03,14:27,15:51,17:15,18:39,20:03
90,06:04,07:28,08:52,10:16,11:40,13:04,14:28,15:52,17:16,18:40,
