paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,
2,,07:20,08:44,10:08,11:32,12:56,14:20,15:44,17:08,18:32,19:56,
49,,07:23,08:47,10:11,11:35,12:59,14:23,15:47,17:11,18:35,,
47,,07:24,08:48,10:12,11:36,13:00,14:24,15:48,17:12,18:36,,
6,,07:26,08:50,10:14,11:38,13:02,14:26,15:50,17:14,18:38,,
45,,07:31,08:55,10:19,11:43,13:07,14:31,15:55,17:19,18:43,,
44,,07:32,08:56,10:20,11:44,13:08,14:32,15:56,17:20,18:44,,
41,,07:34,08:58,10:22,11:46,13:10,14:34,15:58,17:22,18:46,,
43,,07:36,09:00,10:24,11:48,13:12,14:36,16:00,17:24,18:48,,
12,06:17,07:37,09:01,10:25,11:49,13:13,14:37,16:01,17:25,18:49,,
39,,07:38,09:02,10:26,11:50,13:14,14:38,16:02,17:26,18:50,,
40,06:15,07:40,09:04,10:28,11:52,13:16,14:40,16:04,17:28,18:52,,
96,06:20,07:45,09:09,10:33,11:57,13:21,14:45,16:09,17:33,18:57,,
42,06:22,07:47,09:11,10:35,11:59,13:23,14:47,16:11,17:35,18:59,,
95,06:24,07:49,09:13,10:37,12:01,13:25,14:49,16:13,17:37,19:01,,
94,06:26,07:51,09:15,10:39,12:03,13:27,14:51,16:15,17:39,19:03,,
93,06:29,07:54,09:18,10:42,12:06,13:30,14:54,16:18,17:42,19:06,,
46,06:32,07:57,09:21,10:45,12:09,13:33,14:57,16:21,17:45,19:09,,
79,06:36,08:01,09:25,10:49,12:13,13:37,15:01,16:25,17:49,19:13,,
63,06:37,08:02,09:26,10:50,12:14,13:38,15:02,16:26,17:50,19:14,,
14,06:38,08:03,09:27,10:51,12:15,13:39,15:03,16:27,17:51,19:15,,
1,06:43,08:08,09:32,10:56,12:20,13:44,15:08,16:32,17:56,19:20,,
91,06:46,08:11,09:35,10:59,12:23,13:47,15:11,16:35,17:59,19:23,,
138,06:48,08:13,09:37,11:01,12:25,13:49,15:13,16:37,18:01,19:25,,
127,06:50,08:15,09:39,11:03,12:27,13:51,15:15,16:39,18:03,19:27,,
128,06:51,08:16,09:40,11:04,12:28,13:52,15:16,16:40,18:04,19:28,,
129,06:53,08:18,09:42,11:06,12:30,13:54,15:18,16:42,18:06,19:30,,
130,06:58,08:23,09:47,11:11,12:35,13:59,15:23,16:47,18:11,19:35,,
131,07:00,08:25,09:49,11:13,12:37,14:01,15:25,16:49,18:13,19:37,,
132,07:03,08:28,09:52,11:16,12:40,14:04,15:28,16:52,18:16,19:40,,
133,07:05,08:30,09:54,11:18,12:42,14:06,15:30,16:54,18:18,19:42,,
134,07:05,08:30,09:54,11:18,12:42,14:06,15:30,16:54,18:18,19:42,,
135,07:08,08:33,09:57,11:21,12:45,14:09,15:33,16:57,18:21,19:45,,
136,07:09,08:34,09:58,11:22,12:46,14:10,15:34,16:58,18:22,19:46,,
137,07:11,08:36,10:00,11:24,12:48,14:12,15:36,17:00,18:24,19:48,,
90,07:12,08:37,10:01,11:25,12:49,14:13,15:37,17:01,18:25,19:49,,

