paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11
2,,06:40,08:04,09:28,10:52,12:16,13:40,15:04,16:28,17:52,19:16
49,,06:43,08:07,09:31,10:55,12:19,13:43,15:07,16:31,17:55,19:19
47,,06:44,08:08,09:32,10:56,12:20,13:44,15:08,16:32,17:56,19:20
6,,06:46,08:10,09:34,10:58,12:22,13:46,15:10,16:34,17:58,19:22
45,,06:51,08:15,09:39,11:03,12:27,13:51,15:15,16:39,18:03,19:27
44,,06:52,08:16,09:40,11:04,12:28,13:52,15:16,16:40,18:04,19:28
41,,06:54,08:18,09:42,11:06,12:30,13:54,15:18,16:42,18:06,19:30
43,,06:56,08:20,09:44,11:08,12:32,13:56,15:20,16:44,18:08,19:32
12,,06:57,08:21,09:45,11:09,12:33,13:57,15:21,16:45,18:09,19:33
39,,06:58,08:22,09:46,11:10,12:34,13:58,15:22,16:46,18:10,19:34
40,,07:00,08:24,09:48,11:12,12:36,14:00,15:24,16:48,18:12,19:36
96,,07:05,08:29,09:53,11:17,12:41,14:05,15:29,16:53,18:17,19:41
42,,07:07,08:31,09:55,11:19,12:43,14:07,15:31,16:55,18:19,19:43
95,,07:09,08:33,09:57,11:21,12:45,14:09,15:33,16:57,18:21,19:45
94,,07:11,08:35,09:59,11:23,12:47,14:11,15:35,16:59,18:23,19:47
93,,07:14,08:38,10:02,11:26,12:50,14:14,15:38,17:02,18:26,19:50
46,,07:17,08:41,10:05,11:29,12:53,14:17,15:41,17:05,18:29,19:53
79,,07:21,08:45,10:09,11:33,12:57,14:21,15:45,17:09,18:33,19:57
63,,07:22,08:46,10:10,11:34,12:58,14:22,15:46,17:10,18:34,19:58
14,,07:23,08:47,10:11,11:35,12:59,14:23,15:47,17:11,18:35,19:59
1,06:04,07:28,08:52,10:16,11:40,13:04,14:28,15:52,17:16,18:40,20:04
91,06:07,07:31,08:55,10:19,11:43,13:07,14:31,15:55,17:19,18:43,
138,06:09,07:33,08:57,10:21,11:45,13:09,14:33,15:57,17:21,18:45,
127,06:11,07:35,08:59,10:23,11:47,13:11,14:35,15:59,17:23,18:47,
128,06:12,07:36,09:00,10:24,11:48,13:12,14:36,16:00,17:24,18:48,
129,06:14,07:38,09:02,10:26,11:50,13:14,14:38,16:02,17:26,18:50,
130,06:19,07:43,09:07,10:31,11:55,13:19,14:43,16:07,17:31,18:55,
131,06:21,07:45,09:09,10:33,11:57,13:21,14:45,16:09,17:33,18:57,
132,06:24,07:48,09:12,10:36,12:00,13:24,14:48,16:12,17:36,19:00,
133,06:26,07:50,09:14,10:38,12:02,13:26,14:50,16:14,17:38,19:02,
134,06:26,07:50,09:14,10:38,12:02,13:26,14:50,16:14,17:38,19:02,
135,06:29,07:53,09:17,10:41,12:05,13:29,14:53,16:17,17:41,19:05,
136,06:30,07:54,09:18,10:42,12:06,13:30,14:54,16:18,17:42,19:06,
137,06:32,07:56,09:20,10:44,12:08,13:32,14:56,16:20,17:44,19:08,
90,06:33,07:57,09:21,10:45,12:09,13:33,14:57,16:21,17:45,19:09,
