paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,vuelta12,vuelta13,vuelta14,vuelta15,vuelta16,vuelta17,vuelta18,vuelta19,vuelta20,vuelta21,
2,06:15,06:55,07:35,08:15,08:55,09:35,10:15,10:55,11:35,12:15,12:55,13:35,14:15,14:55,15:35,16:15,16:55,17:35,18:15,18:55,19:35,
108,06:21,07:01,07:41,08:21,09:01,09:41,10:21,11:01,11:41,12:21,13:01,13:41,14:21,15:01,15:41,16:21,17:01,17:41,18:21,19:01,19:41,
109,06:23,07:03,07:43,08:23,09:03,09:43,10:23,11:03,11:43,12:23,13:03,13:43,14:23,15:03,15:43,16:23,17:03,17:43,18:23,19:03,19:43,
110,06:25,07:05,07:45,08:25,09:05,09:45,10:25,11:05,11:45,12:25,13:05,13:45,14:25,15:05,15:45,16:25,17:05,17:45,18:25,19:05,19:45,
111,06:26,07:06,07:46,08:26,09:06,09:46,10:26,11:06,11:46,12:26,13:06,13:46,14:26,15:06,15:46,16:26,17:06,17:46,18:26,19:06,19:46,
112,06:28,07:08,07:48,08:28,09:08,09:48,10:28,11:08,11:48,12:28,13:08,13:48,14:28,15:08,15:48,16:28,17:08,17:48,18:28,19:08,19:48,
101,06:29,07:09,07:49,08:29,09:09,09:49,10:29,11:09,11:49,12:29,13:09,13:49,14:29,15:09,15:49,16:29,17:09,17:49,18:29,19:09,19:49,
104,06:31,07:11,07:51,08:31,09:11,09:51,10:31,11:11,11:51,12:31,13:11,13:51,14:31,15:11,15:51,16:31,17:11,17:51,18:31,19:11,19:51,
113,06:32,07:12,07:52,08:32,09:12,09:52,10:32,11:12,11:52,12:32,13:12,13:52,14:32,15:12,15:52,16:32,17:12,17:52,18:32,19:12,19:52,
13,06:37,07:17,07:57,08:37,09:17,09:57,10:37,11:17,11:57,12:37,13:17,13:57,14:37,15:17,15:57,16:37,17:17,17:57,18:37,19:17,19:57,
114,06:39,07:19,07:59,08:39,09:19,09:59,10:39,11:19,11:59,12:39,13:19,13:59,14:39,15:19,15:59,16:39,17:19,17:59,18:39,19:19,19:59,
47,06:42,07:22,08:02,08:42,09:22,10:02,10:42,11:22,12:02,12:42,13:22,14:02,14:42,15:22,16:02,16:42,17:22,18:02,18:42,19:22,20:02,
48,06:43,07:23,08:03,08:43,09:23,10:03,10:43,11:23,12:03,12:43,13:23,14:03,14:43,15:23,16:03,16:43,17:23,18:03,18:43,19:23,20:03,
20,06:45,07:25,08:05,08:45,09:25,10:05,10:45,11:25,12:05,12:45,13:25,14:05,14:45,15:25,16:05,16:45,17:25,18:05,18:45,19:25,20:05,
