paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,vuelta12,vuelta13,vuelta14
2,06:20,07:20,08:20,09:20,10:20,11:20,12:20,13:20,14:20,15:20,16:20,17:20,18:20,19:20
49,06:23,07:23,08:23,09:23,10:23,11:23,12:23,13:23,14:23,15:23,16:23,17:23,18:23,19:23
47,06:24,07:24,08:24,09:24,10:24,11:24,12:24,13:24,14:24,15:24,16:24,17:24,18:24,19:24
6,06:26,07:26,08:26,09:26,10:26,11:26,12:26,13:26,14:26,15:26,16:26,17:26,18:26,19:26
51,06:29,07:29,08:29,09:29,10:29,11:29,12:29,13:29,14:29,15:29,16:29,17:29,18:29,19:29
52,06:30,07:30,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30
44,06:32,07:32,08:32,09:32,10:32,11:32,12:32,13:32,14:32,15:32,16:32,17:32,18:32,19:32
53,06:34,07:34,08:34,09:34,10:34,11:34,12:34,13:34,14:34,15:34,16:34,17:34,18:34,19:34
54,06:36,07:36,08:36,09:36,10:36,11:36,12:36,13:36,14:36,15:36,16:36,17:36,18:36,19:36
3,06:37,07:37,08:37,09:37,10:37,11:37,12:37,13:37,14:37,15:37,16:37,17:37,18:37,19:37
38,06:37,07:37,08:37,09:37,10:37,11:37,12:37,13:37,14:37,15:37,16:37,17:37,18:37,19:37
37,06:38,07:38,08:38,09:38,10:38,11:38,12:38,13:38,14:38,15:38,16:38,17:38,18:38,19:38
36,06:40,07:40,08:40,09:40,10:40,11:40,12:40,13:40,14:40,15:40,16:40,17:40,18:40,19:40
34,06:42,07:42,08:42,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:42,17:42,18:42,19:42
7,06:44,07:44,08:44,09:44,10:44,11:44,12:44,13:44,14:44,15:44,16:44,17:44,18:44,19:44
35,06:47,07:47,08:47,09:47,10:47,11:47,12:47,13:47,14:47,15:47,16:47,17:47,18:47,19:47
28,06:48,07:48,08:48,09:48,10:48,11:48,12:48,13:48,14:48,15:48,16:48,17:48,18:48,19:48
29,06:49,07:49,08:49,09:49,10:49,11:49,12:49,13:49,14:49,15:49,16:49,17:49,18:49,19:49
33,06:52,07:52,08:52,09:52,10:52,11:52,12:52,13:52,14:52,15:52,16:52,17:52,18:52,19:52
8,06:57,07:57,08:57,09:57,10:57,11:57,12:57,13:57,14:57,15:57,16:57,17:57,18:57,19:57
11,06:58,07:58,08:58,09:58,10:58,11:58,12:58,13:58,14:58,15:58,16:58,17:58,18:58,19:58
24,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
22,07:01,08:01,09:01,10:01,11:01,12:01,13:01,14:01,15:01,16:01,17:01,18:01,19:01,20:01
20,07:04,08:04,09:04,10:04,11:04,12:04,13:04,14:04,15:04,16:04,17:04,18:04,19:04,20:04
