paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,vuelta12,vuelta13
2,06:50,07:50,08:50,09:50,10:50,11:50,12:50,13:50,14:50,15:50,16:50,17:50,18:50
48,06:53,07:53,08:53,09:53,10:53,11:53,12:53,13:53,14:53,15:53,16:53,17:53,18:53
47,06:54,07:54,08:54,09:54,10:54,11:54,12:54,13:54,14:54,15:54,16:54,17:54,18:54
6,06:56,07:56,08:56,09:56,10:56,11:56,12:56,13:56,14:56,15:56,16:56,17:56,18:56
51,06:59,07:59,08:59,09:59,10:59,11:59,12:59,13:59,14:59,15:59,16:59,17:59,18:59
52,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00
44,07:02,08:02,09:02,10:02,11:02,12:02,13:02,14:02,15:02,16:02,17:02,18:02,19:02
53,07:04,08:04,09:04,10:04,11:04,12:04,13:04,14:04,15:04,16:04,17:04,18:04,19:04
54,07:06,08:06,09:06,10:06,11:06,12:06,13:06,14:06,15:06,16:06,17:06,18:06,19:06
3,07:07,08:07,09:07,10:07,11:07,12:07,13:07,14:07,15:07,16:07,17:07,18:07,19:07
38,07:07,08:07,09:07,10:07,11:07,12:07,13:07,14:07,15:07,16:07,17:07,18:07,19:07
37,07:08,08:08,09:08,10:08,11:08,12:08,13:08,14:08,15:08,16:08,17:08,18:08,19:08
36,07:10,08:10,09:10,10:10,11:10,12:10,13:10,14:10,15:10,16:10,17:10,18:10,19:10
34,07:12,08:12,09:12,10:12,11:12,12:12,13:12,14:12,15:12,16:12,17:12,18:12,19:12
7,07:14,08:14,09:14,10:14,11:14,12:14,13:14,14:14,15:14,16:14,17:14,18:14,19:14
35,07:17,08:17,09:17,10:17,11:17,12:17,13:17,14:17,15:17,16:17,17:17,18:17,19:17
28,07:18,08:18,09:18,10:18,11:18,12:18,13:18,14:18,15:18,16:18,17:18,18:18,19:18
29,07:19,08:19,09:19,10:19,11:19,12:19,13:19,14:19,15:19,16:19,17:19,18:19,19:19
33,07:22,08:22,09:22,10:22,11:22,12:22,13:22,14:22,15:22,16:22,17:22,18:22,19:22
8,07:27,08:27,09:27,10:27,11:27,12:27,13:27,14:27,15:27,16:27,17:27,18:27,19:27
11,07:28,08:28,09:28,10:28,11:28,12:28,13:28,14:28,15:28,16:28,17:28,18:28,19:28
24,07:30,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30
22,07:31,08:31,09:31,10:31,11:31,12:31,13:31,14:31,15:31,16:31,17:31,18:31,19:31
20,07:34,08:34,09:34,10:34,11:34,12:34,13:34,14:34,15:34,16:34,17:34,18:34,19:34
