paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,vuelta12,vuelta13,vuelta14,vuelta15,
1,05:30,06:30,07:30,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,
81,05:34,06:34,07:34,08:34,09:34,10:34,11:34,12:34,13:34,14:34,15:34,16:34,17:34,18:34,19:34,
80,05:36,06:36,07:36,08:36,09:36,10:36,11:36,12:36,13:36,14:36,15:36,16:36,17:36,18:36,19:36,
79,05:38,06:38,07:38,08:38,09:38,10:38,11:38,12:38,13:38,14:38,15:38,16:38,17:38,18:38,19:38,
64,05:39,06:39,07:39,08:39,09:39,10:39,11:39,12:39,13:39,14:39,15:39,16:39,17:39,18:39,19:39,
115,05:42,06:42,07:42,08:42,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:42,17:42,18:42,19:42,
116,05:43,06:43,07:43,08:43,09:43,10:43,11:43,12:43,13:43,14:43,15:43,16:43,17:43,18:43,19:43,
117,05:45,06:45,07:45,08:45,09:45,10:45,11:45,12:45,13:45,14:45,15:45,16:45,17:45,18:45,19:45,
118,05:47,06:47,07:47,08:47,09:47,10:47,11:47,12:47,13:47,14:47,15:47,16:47,17:47,18:47,19:47,
119,05:48,06:48,07:48,08:48,09:48,10:48,11:48,12:48,13:48,14:48,15:48,16:48,17:48,18:48,19:48,
120,05:52,06:52,07:52,08:52,09:52,10:52,11:52,12:52,13:52,14:52,15:52,16:52,17:52,18:52,19:52,
121,05:55,06:55,07:55,08:55,09:55,10:55,11:55,12:55,13:55,14:55,15:55,16:55,17:55,18:55,19:55,
122,05:56,06:56,07:56,08:56,09:56,10:56,11:56,12:56,13:56,14:56,15:56,16:56,17:56,18:56,19:56,
123,05:58,06:58,07:58,08:58,09:58,10:58,11:58,12:58,13:58,14:58,15:58,16:58,17:58,18:58,19:58,
124,06:03,07:03,08:03,09:03,10:03,11:03,12:03,13:03,14:03,15:03,16:03,17:03,18:03,19:03,20:03,
125,06:06,07:06,08:06,09:06,10:06,11:06,12:06,13:06,14:06,15:06,16:06,17:06,18:06,19:06,,
69,06:08,07:08,08:08,09:08,10:08,11:08,12:08,13:08,14:08,15:08,16:08,17:08,18:08,19:08,,
17,06:09,07:09,08:09,09:09,10:09,11:09,12:09,13:09,14:09,15:09,16:09,17:09,18:09,19:09,,
16,06:11,07:11,08:11,09:11,10:11,11:11,12:11,13:11,14:11,15:11,16:11,17:11,18:11,19:11,,
126,06:13,07:13,08:13,09:13,10:13,11:13,12:13,13:13,14:13,15:13,16:13,17:13,18:13,19:13,,
65,06:15,07:15,08:15,09:15,10:15,11:15,12:15,13:15,14:15,15:15,16:15,17:15,18:15,19:15,,
63,06:17,07:17,08:17,09:17,10:17,11:17,12:17,13:17,14:17,15:17,16:17,17:17,18:17,19:17,,
14,06:19,07:19,08:19,09:19,10:19,11:19,12:19,13:19,14:19,15:19,16:19,17:19,18:19,19:19,,
