paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,vuelta12,vuelta13,vuelta14,vuelta15,vuelta16,vuelta17,vuelta18,vuelta19,vuelta20,vuelta21
2,05:50,06:30,07:10,07:50,08:30,09:10,09:50,10:30,11:10,11:50,12:30,13:10,13:50,14:30,15:10,15:50,16:30,17:10,17:50,18:30,19:10
21,05:53,06:33,07:13,07:53,08:33,09:13,09:53,10:33,11:13,11:53,12:33,13:13,13:53,14:33,15:13,15:53,16:33,17:13,17:53,18:33,19:13
55,05:55,06:35,07:15,07:55,08:35,09:15,09:55,10:35,11:15,11:55,12:35,13:15,13:55,14:35,15:15,15:55,16:35,17:15,17:55,18:35,19:15
56,05:57,06:37,07:17,07:57,08:37,09:17,09:57,10:37,11:17,11:57,12:37,13:17,13:57,14:37,15:17,15:57,16:37,17:17,17:57,18:37,19:17
57,05:59,06:39,07:19,07:59,08:39,09:19,09:59,10:39,11:19,11:59,12:39,13:19,13:59,14:39,15:19,15:59,16:39,17:19,17:59,18:39,19:19
45,06:04,06:44,07:24,08:04,08:44,09:24,10:04,10:44,11:24,12:04,12:44,13:24,14:04,14:44,15:24,16:04,16:44,17:24,18:04,18:44,19:24
58,06:06,06:46,07:26,08:06,08:46,09:26,10:06,10:46,11:26,12:06,12:46,13:26,14:06,14:46,15:26,16:06,16:46,17:26,18:06,18:46,19:26
38,06:08,06:48,07:28,08:08,08:48,09:28,10:08,10:48,11:28,12:08,12:48,13:28,14:08,14:48,15:28,16:08,16:48,17:28,18:08,18:48,19:28
3,06:09,06:49,07:29,08:09,08:49,09:29,10:09,10:49,11:29,12:09,12:49,13:29,14:09,14:49,15:29,16:09,16:49,17:29,18:09,18:49,19:29
54,06:09,06:49,07:29,08:09,08:49,09:29,10:09,10:49,11:29,12:09,12:49,13:29,14:09,14:49,15:29,16:09,16:49,17:29,18:09,18:49,19:29
53,06:10,06:50,07:30,08:10,08:50,09:30,10:10,10:50,11:30,12:10,12:50,13:30,14:10,14:50,15:30,16:10,16:50,17:30,18:10,18:50,19:30
59,06:12,06:52,07:32,08:12,08:52,09:32,10:12,10:52,11:32,12:12,12:52,13:32,14:12,14:52,15:32,16:12,16:52,17:32,18:12,18:52,19:32
60,06:17,06:57,07:37,08:17,08:57,09:37,10:17,10:57,11:37,12:17,12:57,13:37,14:17,14:57,15:37,16:17,16:57,17:37,18:17,18:57,19:37
61,06:18,06:58,07:38,08:18,08:58,09:38,10:18,10:58,11:38,12:18,12:58,13:38,14:18,14:58,15:38,16:18,16:58,17:38,18:18,18:58,19:38
24,06:19,06:59,07:39,08:19,08:59,09:39,10:19,10:59,11:39,12:19,12:59,13:39,14:19,14:59,15:39,16:19,16:59,17:39,18:19,18:59,19:39
22,06:20,07:00,07:40,08:20,09:00,09:40,10:20,11:00,11:40,12:20,13:00,13:40,14:20,15:00,15:40,16:20,17:00,17:40,18:20,19:00,19:40
20,06:23,07:03,07:43,08:23,09:03,09:43,10:23,11:03,11:43,12:23,13:03,13:43,14:23,15:03,15:43,16:23,17:03,17:43,18:23,19:03,19:43
